iter	MultiClass
450	0.0645373745
451	0.06448984229
452	0.06446723097
453	0.06434541665
454	0.06418840627
455	0.064029126
456	0.06391731826
457	0.06389724121
458	0.06381593459
459	0.06380309751
460	0.06375044084
461	0.06370605656
462	0.06367284917
463	0.06363008255
464	0.06357005534
465	0.06352715044
466	0.06348821249
467	0.06345899124
468	0.06338020818
469	0.06333639049
470	0.06331357618
471	0.06315431194
472	0.06297911791
473	0.06295123443
474	0.06291553186
475	0.06287219554
476	0.06276470049
477	0.06271321205
478	0.0626451611
479	0.0625335622
480	0.06251343273
481	0.06243264687
482	0.06235092315
483	0.06229760927
484	0.06223731739
485	0.06222579153
486	0.06216412286
487	0.06213914228
488	0.0621103163
489	0.06207494374
490	0.0620646279
491	0.06201546667
492	0.06196747307
493	0.06188754362
494	0.06184480539
495	0.06178459293
496	0.06172681519
497	0.06168623669
498	0.0616323323
499	0.06161099736
